#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
State the Lorentz force on a point charge.	\( \mathbf{F} = q(\mathbf{E} + \mathbf{v}\times\mathbf{B}) \)<br><br>\(\mathbf{E}\) is force per unit charge; \(\mathbf{B}\) is force per unit current.	eo h1_emwaves
State the four Maxwell equations in vacuum (differential form).	\(\nabla\cdot\mathbf{E} = \rho_t/\varepsilon_0\)<br>\(\nabla\cdot\mathbf{B} = 0\)<br>\(\nabla\times\mathbf{E} = -\partial\mathbf{B}/\partial t\)<br>\(\nabla\times\mathbf{B} = \mu_0\mathbf{J}_t + \mu_0\varepsilon_0\,\partial\mathbf{E}/\partial t\)<br><br>The last term is the displacement current; the curl equations couple E and B in time-varying situations.	eo h1_emwaves
State Maxwell's equations in a medium (in terms of D and H).	\(\nabla\cdot\mathbf{D} = \rho\) (free charge)<br>\(\nabla\cdot\mathbf{B} = 0\)<br>\(\nabla\times\mathbf{E} = -\dot{\mathbf{B}}\)<br>\(\nabla\times\mathbf{H} = \mathbf{J} + \dot{\mathbf{D}}\) (free current)	eo h1_emwaves
Define the auxiliary fields D and H.	\( \mathbf{D} = \varepsilon_0\mathbf{E} + \mathbf{P} \) (electric displacement)<br>\( \mathbf{H} = \mathbf{B}/\mu_0 - \mathbf{M} \) (magnetic intensity)<br><br>P and M are the polarization and magnetization densities.	eo h1_emwaves
How is polarization P related to bound charges and currents?	Volume bound charge density: \( \rho_p = -\nabla\cdot\mathbf{P} \)<br>Surface bound charge density: \( \sigma_p = \mathbf{P}\cdot\hat{\mathbf{n}} \)<br>Bound current density: \( \mathbf{J}_p = \dot{\mathbf{P}} \)<br><br>From the continuity equation \(\nabla\cdot\mathbf{J}_p = -\dot\rho_p\).	eo h1_emwaves
How is magnetization M related to bound currents?	Volume bound current density: \( \mathbf{J}_m = \nabla\times\mathbf{M} \)<br>Surface bound current density: \( \mathbf{j}_m = \mathbf{M}\times\hat{\mathbf{n}} \)	eo h1_emwaves
State the constitutive relations for linear isotropic media.	\( \mathbf{P} = \varepsilon_0\chi\mathbf{E} \) and \( \mathbf{M} = \chi_m\mathbf{H} \)<br><br>Hence \( \mathbf{D} = \varepsilon\varepsilon_0\mathbf{E} \) and \( \mathbf{B} = \mu\mu_0\mathbf{H} \), where \(\varepsilon = 1+\chi\) is the relative permittivity and \(\mu = 1+\chi_m\) is the relative permeability.	eo h1_emwaves
State the EM energy density.	\( u = \tfrac{1}{2}\mathbf{E}\cdot\mathbf{D} + \tfrac{1}{2}\mathbf{B}\cdot\mathbf{H} \)	eo h1_emwaves
Define the Poynting vector.	\( \mathbf{N} = \mathbf{E}\times\mathbf{H} \)<br><br>It is the energy flux per unit area per unit time carried by the electromagnetic field.	eo h1_emwaves
Show \(dU/dt = -\oint\mathbf{N}\cdot d\mathbf{S} - \int\mathbf{J}\cdot\mathbf{E}\,dV\) in words.	The rate of change of EM energy in a volume equals the inward Poynting flux through its surface minus the work done on free currents inside (Joule dissipation). This is Poynting's theorem.	eo h1_emwaves
Why introduce the vector potential A?	Because \(\nabla\cdot\mathbf{B} = 0\) and the divergence of any curl vanishes, B can always be written as \(\mathbf{B} = \nabla\times\mathbf{A}\). For time-varying B, E is no longer conservative, so a scalar potential alone is insufficient.	eo h1_emwaves
Express E in terms of the potentials A and ϕ.	\( \mathbf{E} = -\dot{\mathbf{A}} - \nabla\phi \)<br><br>From \(\nabla\times\mathbf{E} = -\dot{\mathbf{B}} = -\nabla\times\dot{\mathbf{A}}\), integrating gives this form (the gradient of any scalar can be added).	eo h1_emwaves
State the four EM boundary conditions at an interface between two media.	Across an interface (no free charges/currents):<br>(1) \(D_\perp\) conserved (from \(\oint\mathbf{D}\cdot d\mathbf{S}=0\))<br>(2) \(B_\perp\) conserved<br>(3) \(E_\parallel\) conserved<br>(4) \(H_\parallel\) conserved<br><br>Free interface charge breaks (1); free interface current breaks (4).	eo h1_emwaves
Derive the EM wave speed in a medium.	Taking curl of \(\nabla\times\mathbf{E}=-\dot{\mathbf{B}}\) and substituting from the other ME's gives \(\nabla^2\mathbf{E} = \varepsilon\varepsilon_0\mu\mu_0\,\ddot{\mathbf{E}}\), a wave equation with speed:<br><br>\( v = \dfrac{1}{\sqrt{\varepsilon\varepsilon_0\mu\mu_0}} = \dfrac{c}{\sqrt{\varepsilon\mu}} = \dfrac{c}{n} \)<br><br>where \(n=\sqrt{\varepsilon\mu}\) is the refractive index.	eo h1_emwaves
State the relationships between E, B, k, H for plane EM waves in an isotropic medium.	\(\mathbf{B}\perp\mathbf{k}\) and \(\mathbf{D}\perp\mathbf{k}\); \(\mathbf{B}\parallel\mathbf{H}\) and \(\mathbf{D}\parallel\mathbf{E}\). So \((\mathbf{E},\mathbf{H},\mathbf{k})\) are mutually perpendicular and form a right-handed set with \(\mathbf{E}\times\mathbf{H}=\mathbf{N}\parallel\mathbf{k}\). These are transverse EM waves.	eo h1_emwaves
Relate |E|/|B| and |E|/|H| for a plane wave.	\( |\mathbf{E}|/|\mathbf{B}| = \omega/k = v = c/n \)<br><br>\( |\mathbf{E}|/|\mathbf{H}| = \sqrt{\mu\mu_0/(\varepsilon\varepsilon_0)} = Z = \sqrt{\mu/\varepsilon}\,Z_0 \)<br><br>where \(Z_0 = \sqrt{\mu_0/\varepsilon_0} \approx 377\,\Omega\) is the impedance of free space.	eo h1_emwaves
When can EM waves be longitudinal?	When free charge is present so \(\nabla\cdot\mathbf{D}\neq 0\), or in the special case \(\varepsilon(\omega)=0\) which allows \(\mathbf{k}\parallel\mathbf{E}\). Plasma waves at \(\omega = \omega_p\) (where \(\varepsilon=0\)) are longitudinal.	eo h1_emwaves
State the Fresnel reflection coefficients for s and p polarisations.	\( r_p = \dfrac{n_2\cos\theta_1 - n_1\cos\theta_2}{n_2\cos\theta_1 + n_1\cos\theta_2} \) (E in plane of incidence)<br><br>\( r_s = \dfrac{n_1\cos\theta_1 - n_2\cos\theta_2}{n_1\cos\theta_1 + n_2\cos\theta_2} \) (E perpendicular)<br><br>p = E in plane of incidence; s = senkrecht (perpendicular).	eo h1_emwaves
State the Brewster angle.	\( \theta_B = \tan^{-1}(n_2/n_1) \)<br><br>At this angle of incidence \(r_p = 0\): light polarized in the plane of incidence is fully transmitted, while s-polarized light is partially reflected. Used as a polarizing device.	eo h1_emwaves
What happens to \(r_p\) and \(r_s\) at grazing incidence?	Both \(r_p, r_s \to -1\) as \(\theta_1 \to \pi/2\). All incident light is reflected, with a phase reversal.	eo h1_emwaves
At normal incidence, what is the relation between \(r_p\) and \(r_s\)?	\( r_p = -r_s \) and \( t_p = t_s \). The minus sign comes from the convention used for which way is 'reflected' for the two polarisations.	eo h1_emwaves
How does superposing two perpendicular plane-polarized waves with real amplitudes give plane polarization?	If \(a_1, a_2\) are real, the x and y components of \(\mathbf{E}_T\) oscillate in phase. Result is a plane-polarized wave at angle \(\theta = \tan^{-1}(a_2/a_1)\) to the x-axis with amplitude \(E_0\sqrt{a_1^2+a_2^2}\).	eo h1_polarization
How is left-circularly polarized (LCP) light produced from two linear components?	Take \(a_1=1, a_2=i\) (so \(E_y\) lags \(E_x\) by \(\pi/2\)). At fixed z, \(\mathbf{E}_T\) rotates anti-clockwise as seen by an observer towards whom the light propagates. The instantaneous field sweeps out a left-handed helix in space.	eo h1_polarization
What does an observer see for RCP versus LCP light?	The observer (light coming towards them):<br>• LCP: E rotates anti-clockwise<br>• RCP: E rotates clockwise<br><br>Note: electrical engineers use the opposite convention.	eo h1_polarization
State the Jones vectors for x-pol, y-pol, RCP, LCP.	\( \underline{L}_x = \begin{pmatrix}1\\0\end{pmatrix} \), \( \underline{L}_y = \begin{pmatrix}0\\1\end{pmatrix} \)<br><br>\( \underline{C}_R = \dfrac{1}{\sqrt{2}}\begin{pmatrix}1\\-i\end{pmatrix} \), \( \underline{C}_L = \dfrac{1}{\sqrt{2}}\begin{pmatrix}1\\i\end{pmatrix} \)	eo h1_polarization
Express \(\underline{L}_x\) as a sum of circular polarizations.	\( \underline{L}_x = \dfrac{\underline{C}_R + \underline{C}_L}{\sqrt{2}} \)<br><br>A linearly polarized wave is a superposition of two counter-rotating circularly polarized waves of equal amplitude.	eo h1_polarization
In Jones algebra, what is the order of operations for light passing through optical elements A, B, C?	\( \underline{\underline{J}} = \underline{\underline{J}}_C \cdot \underline{\underline{J}}_B \cdot \underline{\underline{J}}_A \)<br><br>The first element acts first, so its matrix multiplies the input vector first (rightmost in the product).	eo h1_polarization
State the Jones matrix for an x-polarizer.	\( \underline{\underline{J}}_x = \begin{pmatrix}1 & 0\\0 & 0\end{pmatrix} \)<br><br>It transmits only the x-component, blocking the y-component (e.g. a Polaroid film with conducting chains along y).	eo h1_polarization
State the Jones matrix for a polarizer at angle θ to Ox.	\( \underline{\underline{J}}_\theta = \begin{pmatrix}\cos^2\theta & \sin\theta\cos\theta\\\sin\theta\cos\theta & \sin^2\theta\end{pmatrix} \)<br><br>Equivalent to a rotation, projection onto x, then rotation back.	eo h1_polarization
State Malus's law.	For linearly polarized light of intensity \(I_0\) passing through a polarizer at angle \(\theta\) to its polarization direction:<br><br>\( I(\theta) = I_0\cos^2\theta \)<br><br>Falls to zero for crossed polarizers (\(\theta = \pi/2\)).	eo h1_polarization
What is dichroism?	Anisotropic absorption: a dichroic material absorbs light linearly polarized in one direction more than the other. Acts as a polarizer at the molecular level (e.g. Polaroid film with aligned conducting polymer chains).	eo h1_anisotropic
What is birefringence?	Anisotropic refractive index: light of different polarization or different propagation direction experiences a different refractive index. Arises from anisotropic crystal structure (e.g. calcite).	eo h1_anisotropic
Express the dielectric response in an anisotropic medium.	\( D_i = \varepsilon_0 \sum_j \varepsilon_{ij} E_j \)<br><br>The relative permittivity is a second-rank tensor. In general \(\mathbf{D} \not\parallel \mathbf{E}\) in an anisotropic medium.	eo h1_anisotropic
Why is the dielectric tensor Hermitian?	From energy conservation \((\dot{\mathbf{E}}\cdot\mathbf{D} - \mathbf{E}\cdot\dot{\mathbf{D}}) = 0\) for time-harmonic complex fields. Working through gives \(\varepsilon_{ij} = \varepsilon_{ji}^*\), so \(\boldsymbol{\varepsilon}\) is Hermitian and can be diagonalised.	eo h1_anisotropic
