#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
What defines soft matter?	Materials readily deformed by thermal fluctuations or mechanical stresses. The elastic moduli are small enough that k<sub>B</sub>T at room temperature is sufficient to cause significant deformation or rearrangement.	soft_matter ch1_introduction
Why is the elastic modulus E a useful indicator of softness?	E has units of pressure (energy density). For a given applied pressure p, the strain is ε = p/E. Soft materials have E in the kPa–MPa range (e.g. gels ~10³ Pa, rubber ~10⁷ Pa) while hard materials are 10¹⁰–10¹¹ Pa (diamond, metals).	soft_matter ch1_introduction
Give three examples of soft matter systems.	Polymers (plastics, rubber), colloidal suspensions (paint, milk, blood), surfactants and amphiphiles (soap, lipid membranes), liquid crystals, gels, foams, granular media, biological tissues.	soft_matter ch1_introduction
State the continuity equation for a compressible fluid.	∂ρ/∂t + ∇·(ρv) = 0<br><br>This expresses conservation of mass: the rate of change of density at a point equals minus the divergence of the mass flux ρv.	soft_matter ch2_fluids
How does the continuity equation simplify for an incompressible fluid?	∇·v = 0<br><br>Since ρ is constant, the velocity field must be divergence-free.	soft_matter ch2_fluids
What is the stress tensor σ<sub>ij</sub>?	The force per unit area in the i-direction transmitted across a surface whose normal points in the j-direction. dF<sub>i</sub> = σ<sub>ij</sub> n<sub>j</sub> dS.	soft_matter ch2_fluids
State the viscous stress tensor for a Newtonian fluid in general geometry.	σ'<sub>ij</sub> = η(∂<sub>i</sub>v<sub>j</sub> + ∂<sub>j</sub>v<sub>i</sub>)<br><br>The viscous stress is proportional to the symmetric part of the velocity gradient. The proportionality constant η is the viscosity.	soft_matter ch2_fluids
Write the Navier–Stokes equation for an incompressible Newtonian fluid.	ρ[∂<sub>t</sub>v + (v·∇)v] = −∇p + η∇²v + ρg<br><br>Left side: inertial force densities (local + convective acceleration). Right side: pressure gradient, viscous force, body force.	soft_matter ch2_fluids
What is the material (convective) derivative?	Df/Dt = ∂f/∂t + (v·∇)f<br><br>It gives the rate of change of a quantity f as you follow a fluid element. The first term is the local (Eulerian) rate of change; the second is the convective contribution from moving with the flow.	soft_matter ch2_fluids
Define the Reynolds number and state its physical meaning.	Re = ρv₀L₀/η<br><br>It is the dimensionless ratio of inertial forces to viscous forces. Re ≪ 1 → viscous flow dominates (Stokes regime); Re ≫ 1 → inertia dominates (turbulent regime).	soft_matter ch2_fluids
State the Stokes equation (low-Reynolds-number flow).	0 = −∇p + η∇²v<br><br>Obtained by neglecting both the inertial term and the time derivative in the Navier–Stokes equation when Re ≪ 1.	soft_matter ch2_fluids
State the time-dependent Stokes equation.	ρ∂<sub>t</sub>v = −∇p + η∇²v<br><br>Used when external driving (e.g. oscillating boundary) sets the timescale rather than the intrinsic flow timescale.	soft_matter ch2_fluids
What are the four key properties of Stokes flow?	(1) Instantaneous: no time derivative, so no flow inertia. (2) Linear: doubling the pressure doubles the velocity field. (3) Reversible: reversing forces reverses flow. (4) Streamlines are unchanged before and after passage of an object.	soft_matter ch2_fluids
State the Scallop theorem.	At low Reynolds number, a swimmer that performs a reciprocal motion (a sequence of shape changes that retraces itself in reverse) cannot achieve net translation. This is because Stokes flow is kinematically reversible.	soft_matter ch2_fluids
